0	1	2	3	4	5	6	7
Smad1/5/9.2	41	37	67	30	35	42	67	1
Gabpa	67	45	79	41	38	55	64	5
Nr1h4/5	39	15	57	23	15	38	78	5
Celf1/2	56	41	62	32	32	64	78	3
Hoxa5/6/7	69	70	67	51	44	66	75	8
Msx1/2/3.3	78	47	111	39	38	74	93	10
Nr1h2/3.3	23	23	28	13	15	16	47	3
Myf5/6.1	133	81	130	61	58	93	284	12
E2F/1/2/3.1	65	55	131	50	49	60	91	2
Cr855307.2	46	36	68	19	26	37	56	7
Creb3l1/2.9	128	101	134	76	57	125	198	25
Pabpc1/2/3/4/6	63	58	62	47	39	55	57	4
Myf5/6.2	142	88	137	70	70	84	302	15
Rbpj.11	100	50	76	46	45	70	115	12
Pou4f1/2/3	52	42	68	30	37	46	78	9
Foxf1/2.1	149	150	196	104	114	154	146	12
Ssrp/1.1	58	39	62	29	49	46	62	6
SI:DKEY-154P10.3	41	33	55	28	30	41	53	8
Six4.25	218	142	237	121	105	166	234	24
Bhlha15.1	54	34	56	37	38	44	71	8
Irf3	116	75	131	58	66	82	119	6
Zkscan1/14/17/2/3/6	38	33	56	24	23	35	61	5
Caup;Irx-C.23	2699	2156	3173	1595	1701	2465	3348	354
Usf1/2.17	158	115	176	112	125	160	204	20
Yy1/2	75	84	96	57	59	83	131	4
Crol	130	151	179	118	102	110	114	9
Zfhx2/3/4	55	55	79	37	41	55	74	6
Rorb.10	16	14	26	9	10	18	21	3
P53	35	30	63	35	26	32	80	7
Atf4b1/2	786	530	843	418	481	637	1080	104
Foxs1	81	92	107	62	78	71	82	13
Foxn2/3	938	769	1201	602	587	908	1188	139
Met31/32	80	66	98	51	51	57	109	9
Six1/2.3	218	142	237	121	105	166	234	24
Hes1/4/5.5	103	68	124	60	71	102	138	8
Bsh_chick	116	109	145	77	53	104	154	17
Batf/3	56	49	57	35	28	36	72	5
Tcf12/3/4.13	43	24	45	26	21	25	38	1
Hnf4a.22	46	42	70	27	36	59	57	4
Msgn1	77	58	78	49	43	44	97	9
Tbx2/3.3	72	40	53	47	27	60	80	6
Barx1/2.21	51	41	64	38	29	49	70	8
Nf1.2	52	43	82	37	29	60	87	9
Isl1/2.23	77	65	95	53	38	85	129	10
Gata2/3.101	31	13	40	24	18	35	52	2
Fli1	77	47	87	39	48	80	84	9
Pou2f1/2/3.16	47	50	54	32	35	30	48	4
Rfx/1/4.1	91	78	119	61	61	78	121	14
Bcl6	51	35	61	35	21	37	71	6
Elf1/2.1	47	31	98	34	25	54	93	8
Cic.1	59	56	81	36	49	74	120	10
Pax7.4	42	29	54	19	18	35	60	4
Ehf.7	46	34	67	32	38	62	64	4
Prox1	18	9	30	11	8	15	28	2
Gsc.2	248	166	325	134	120	181	292	19
Rif1	32	8	28	13	7	16	33	2
Camta/1/2	69	47	91	43	68	65	79	12
Xbp1	111	87	123	49	48	66	128	19
Erf.1	47	31	98	34	25	54	93	8
Fli1.2	78	59	88	44	47	75	103	7
Ci-Hsf	35	31	37	30	29	43	75	6
Otx1/2/5.1	42	24	49	27	23	17	58	3
Nfya.6	1329	1113	1706	869	784	1340	1764	181
Foxn1.1	103	88	123	66	44	74	115	14
Tcf7.76	36	28	64	28	26	32	44	2
Twistnb	57	41	68	39	36	56	106	9
Foxm1.1	115	78	160	59	72	105	127	6
Salm	58	51	57	37	25	43	60	8
Rx1/2/3.1	94	62	128	56	61	86	138	8
Emx1/2.1	279	222	364	161	147	251	397	34
Max	119	77	145	93	129	162	158	13
Toe1;Egr1/4	79	64	87	48	42	93	114	17
Znf367	99	92	132	86	62	96	131	9
Nkx6-1/2/3.15	185	160	236	105	86	165	259	26
Nfic.20	55	46	84	37	29	56	103	10
Cir1	178	143	205	147	158	180	202	17
Foxg1.2	228	173	280	142	162	256	264	27
Tcp1	21	17	35	25	23	29	33	3
Jun.19	710	479	764	401	435	578	997	95
Znf410.1	50	37	91	45	45	68	106	7
Arnt/2.30	177	148	214	137	128	167	208	20
Nfil3.2	81	58	74	42	44	65	91	7
Foxe1/3	175	142	209	120	119	167	211	15
Glis1/3	89	79	128	81	56	89	118	9
Klf5	82	58	110	50	39	58	126	18
Dmrta1/2.2	22	15	34	23	14	22	35	5
Rfx/1/2/3.8	63	48	67	36	42	50	71	4
Nrf1	112	78	133	82	60	94	118	15
Pitx1/2/3.4	85	48	101	59	48	60	96	6
Met31/32.1	33	28	59	23	20	25	57	6
Onecut/1/2/3	29	23	38	18	14	34	45	2
Nr5a1/2/5.40	53	28	64	36	23	55	76	4
Zic1/3/4/5/6.4	64	51	109	32	42	39	73	7
Zic1/3/4/5/6	68	51	84	37	43	53	78	11
Zic1/3/4/5/6.1	56	19	56	25	22	42	56	3
KH.L149.36	60	44	80	28	33	69	84	14
Smad4	35	20	47	20	16	31	38	6
Hlh-4.5	62	43	67	49	39	45	93	4
KH.C6.110	28	15	39	12	18	18	50	4
Kdm2b	43	40	71	30	30	41	54	8
E2F2/4/5	75	60	158	65	63	77	112	4
Spib	87	44	81	46	43	56	86	7
Tcf7l1/2.41	9	9	11	3	6	9	16	4
Gata4/5/6.1	42	22	39	18	20	44	58	2
Foxo/1/3/4/6.2	130	105	178	104	106	173	149	19
Ci-Pax2/5/8	97	67	133	69	58	97	117	9
Tfap2c.41	44	38	74	25	32	47	72	10
Zbtb17/24/41/48/49	40	29	53	29	19	45	56	4
Dlx1.65	185	160	236	105	86	165	259	26
Lab	40	26	71	27	30	32	57	7
Nfkb1/2	301	226	173	188	184	154	152	21
Ci-eag/Hcn/cng-diverged_3	39	30	49	19	22	28	45	4
Gli1/2/3.6	76	44	94	48	35	73	107	7
Foxp1/2/4.7	75	73	126	54	67	93	114	11
Atf2/7.5	883	597	982	471	526	746	1202	136
Eng1b.107	102	67	121	68	47	92	135	9
Tbx1/10.2	52	38	53	34	25	33	81	11
Sox11/12/4	79	62	103	50	49	73	114	9
Hoxa10/4/7	89	73	77	74	58	62	87	5
Hoxc13.1	36	22	52	20	17	36	54	6
Dlx2/3/5	43	35	58	23	39	29	55	4
Zip-3	680	470	756	379	437	589	957	93
Sox15/17/18	75	58	74	39	44	65	103	8
Gsx1/2	44	54	69	38	30	48	65	5
Ik	58	37	34	34	41	52	74	5
En1/2	46	53	76	33	25	38	67	5
Nr2f1/2/5.18	38	27	64	24	34	47	69	5
Hand1/2	133	95	120	69	65	76	276	12
Dmrt2/3.23	42	27	53	31	31	42	59	6
Rest	45	34	55	17	18	41	80	7
Cr848757.1	46	58	52	34	35	33	59	9
Nr2c1/2.6	32	18	40	17	14	35	46	4
F1Nm26_chick.3	132	103	169	79	65	138	162	16
Ctcf	71	72	103	62	65	86	106	6
Elk1/3/4.2	50	32	56	22	28	34	52	7
Xbp1.2	106	86	121	63	46	91	139	28
Foxd1/2/3/5	188	221	189	134	122	131	183	23
Foxd4l1/2/3/4/5/6.54	51	31	64	23	32	38	79	11
Foxl1.1	310	299	412	199	201	293	286	20
Foxi1/3.1	61	34	87	42	39	56	107	7
Foxi1/3	175	127	215	101	104	152	182	17
Foxi1/2.1	106	106	149	67	81	97	106	13
Nkx2-3.4	68	50	111	47	38	75	106	15
Hmx1/3.15	95	57	121	52	53	74	132	12
Ppara.5	53	28	64	36	23	55	76	4
Pax6.1	43	55	59	29	35	48	50	8
Tbx1/15/18/22	98	46	66	37	31	62	116	10
Abi3bp	39	32	68	27	34	36	68	5
Klf12/3/8.4	69	36	64	33	37	44	90	9
Lhx2/9.4	94	62	128	56	61	86	138	8
Rxrg.18	43	46	66	29	34	59	65	5
Lmx1a.5	185	160	236	105	86	165	259	26
Lmx1a	50	56	79	37	28	41	75	3
Foxh1	66	45	85	39	41	69	86	7
Rarg.26	43	32	61	29	16	37	61	4
KH.C9.626	37	28	46	23	25	32	39	5
Srebf1/2.6	68	46	97	37	43	75	117	10
Nr4a3.2	48	32	45	22	18	47	67	4
