0	1	2	3	4	5	6	7
Tfdp1/2/3.2	0.0581780100730912	0.0443313351175345	-0.131698095946012	0.232606135370806	0.121531196901993	0.245959401936752	-0.405316418121273	0.0368654547486311
Arf1/2/3/4/5/6	0.15231515308456	-0.0575495520545205	0.505266127341631	-0.491748929115139	-0.31285741699882	0.0480471488425983	-0.167284938378922	-0.513390140392297
Etv1/4/5	0.116435157065897	0.0035848789632098	0.0842635384112787	0.00297089559563286	0.0402768667905329	0.083040898723522	-0.265012604369783	-0.594632797233027
Nfe2l1/2/3	-0.247756445692545	0.0859896296914695	-0.175856179017707	0.401433823923801	0.166668230595301	-0.0600920999383517	-0.104969159036553	0.325072422385727
Ceh-31.2	0.0161464547516188	0.34772408540913	-0.0587867202908025	0.057920488165774	-0.748169424952868	-0.034841249742021	0.0875351544073448	0.271617863767448
Hoxb1.3	-0.0274924641778497	0.139548485881306	0.0479150876299192	-0.0109468302119923	-0.123446455636534	-0.00043777195608313	-0.0107393054848933	-0.328538840424723
Her	0.169828815006711	-0.613396000005712	-0.0152534937470499	0.0043098962820256	0.176711955553974	0.30584897193813	-0.133914955823153	-0.694776927335304
Foxj2/3.3	0.126580176404109	0.298623525414731	0.222955411625273	-0.0684311290913628	0.115740891494775	0.0209218901589276	-0.873103255139277	0.998979522909668
Arx.4	-0.0318293261812961	0.222677944685476	-0.00954372938145759	0.0216622479061604	-0.0995889350409032	-0.045468897794033	-0.0260480468936796	0.0217288902181563
Tbx20.3	0.285841942041716	-0.18655906514576	-0.530172305004458	0.478106221354068	-0.481715409336884	0.14020808782619	0.281093271209903	-0.467683410394173
Znf143	-0.0914941596402456	-0.216418783140897	-0.0398356580328676	0.111546384022009	-0.181616589389082	0.371604044971265	0.0305012771831237	-0.243486705128192
Nr6a1.1	-0.040727050653795	0.109825532126883	0.169605023769705	-0.528048438048761	-0.326977186291612	0.387792911475908	-0.0662803108533779	0.00592950551474255
Tlx1/2.1	0.0263327077848765	0.484525232336824	0.235146281389501	-0.0687392848895748	-0.465441061102691	-0.550464531361827	-0.0376921430814507	0.00362242940936721
Rx/3	0.0887477768347364	-0.0994301677917367	-0.0590025143445362	0.021442363028728	0.165718102505708	-0.287838866822683	0.107980459039773	0.0868308520538051
Zic1/2/3.4	0.0944139135726902	-0.338265630261239	0.10759766199234	0.13096996940624	-0.408375608072268	-0.0101550236157876	0.0494728665143123	-0.13093487354755
Cdc5l	0.465455664496866	-0.377415451133477	0.149987203227318	-0.0650882197490415	-0.027812458476839	-0.213432077475519	-0.0526450201223157	-2.32833670458711
Mybl1/2	0.0976850883162439	-0.210876443881051	0.198975651742378	-0.585384942453165	0.0889582441172813	0.323298432869255	-0.167035214953271	-0.0485839758904449
Tp53/63/73	0.0400401294078963	-0.634558161022762	0.26696227166551	0.0428505415863749	0.0801505999798342	-0.219705269808436	0.0751160625900684	0.532247038551306
Uncx4.1.5	-0.0984493884967874	0.101537444388117	0.31784171721457	-0.552429486330112	0.0739384967947138	-0.0569561915403995	0.000798409924027292	-0.638694539660341
Atf1.40	0.214424379935527	-0.0613518015106394	-0.166471021313466	0.0302114180148571	0.262990836302996	0.136260764980162	-0.269308155560264	0.22403932579974
KH.C1.1304	0.0792925521295768	0.445703601191271	0.0384668398754658	-0.0418791602456461	0.112661182945562	-0.0852140437437872	-0.423095167364578	-0.137597938554183
Hat1	0.392756279754359	0.0126641112408365	0.257475640575222	-0.039369902623697	-1.0103897485664	-0.519025231575447	0.123225878387075	-0.224605199999869
Barhl1/2.4	-0.0161184158689515	0.163329138785016	0.0604125593743329	-0.142827933619881	-0.4194216848936	-0.0218007032916883	0.0951705544429982	0.200941604040434
Grhl1/2/3	-0.00611318510106135	0.0159915126331751	-0.0192533564953123	-0.115883568383993	0.134528067248528	-0.087470611457966	-0.177775885735344	0.827537069501998
Sox14/21	0	0.183245447103181	0.0230533172263294	-0.15059300226299	0.308710674975115	-0.0803363345751912	-0.0915411085254422	-0.427621089597339
Ppp1r13b	-0.413166296883908	-1.27617763007914	0.197009168974955	0.143136430458264	0.709243108024192	0.0250284188500303	0.205033787779277	-0.427626178696059
Dmbx1.2	0.688727807099851	0.312280721363776	0.282258612469386	-0.666980836271109	-0.810306973140678	-0.180401534991704	-0.439334813381701	0.141671684133657
Hoxa2b	-0.0247777301920878	0.152005382046115	0.0632337720507486	-0.133591663205288	-0.428587947131441	-0.0120324511954508	0.09875762911755	0.209556837808328
Hoxd3	-0.249543326010867	-0.126219971377065	0.20072442661635	0.641744914597154	-0.206893125743426	-1.00626829968299	0.340495805702185	-0.349294360031867
Barhl1/2	-0.203023843688003	-0.0429117203267838	0.223043779704664	0.093989192910538	0.131191811850032	-0.335825813692551	0.157202601814833	-0.224605199999869
Zeb1/2	0.129465711358127	-0.817265760093383	0.0667224741946353	-0.370711233077258	-0.140912418919653	-0.136985599767726	0.470539907132899	0.0626219974026813
Hoxb2/3.58	0.23237379354814	-0.176346888724212	0.0417756461666468	0.24232047031163	-0.404391434101086	-0.252997303893154	0.00763153658742877	0.413525601084635
Barx1/2.15	-0.0161184158689515	0.163329138785016	0.0604125593743329	-0.142827933619881	-0.4194216848936	-0.0218007032916883	0.0951705544429982	0.200941604040434
Hes1/2/4	-0.11048257371017	-0.286885520991683	0.149334915710983	0.184817078114937	0.25244706831788	-0.0942200744272821	-0.132235654246146	-0.0545688917751454
Hoxc10/11.7	0.200160780078602	0.204901089030934	0.0680660619822343	-0.214747380496859	0.148347239831873	-0.33146644650656	-0.136401184233348	0.00592950551474255
